name,source,gender,wikidata,type
"Avenue de l'Université",wikidata,-,Q572968,way
"Impasse George Sand",wikidata,-,Q2608761,way
"Rond-Point de la Commune de Paris",wikidata,-,Q133132,way
"Rue du Vignemale",wikidata,-,Q1348903,way
"Allée Anna de Noailles",wikidata,F,Q6050,way
"Allée Flore Tristan",wikidata,F,Q254068,way
"Passage Anne Lister",wikidata,F,Q2745195,way
"Avenue Louis Sallenave",wikidata,M,Q3263086,way
"Cours Léon Bérard",wikidata,M,Q716823,way
"Rond-Point François Mitterrand",wikidata,M,Q2038,way
"Square Martin Luther King",wikidata,M,Q8027,way
