name,source,gender,wikidata,type
"1ère Allée - Allée de l'Uzan",,,,way
"2e Allée",,,,way
"3e Allée",,,,way
"4e Allée",,,,way
"5e Allée",,,,way
"6e Allée",,,,way
"Allée Alfred de Musset",,,,way
"Allée Buffon",,,,way
"Allée Condorcet",,,,way
"Allée Constance Bonacieux",,,,relation
"Allée Duke Ellington",,,,way
"Allée Édouard Brunel",,,,way
"Allée Émile Bournac",,,,way
"Allée François Coppée",,,,way
"Allée François Truffaut",,,,way
"Allée Gérard de Nerval",,,,way
"Allée Hippolytte Taine",,,,way
"Allée Huguet",,,,way
"Allée Jacky Bert",,,,way
"Allée Jean Lebrau",,,,way
"Allée Lamartine",,,,relation
"Allée Louis Ducla",,,,way
"Allée Maurice Barrès",,,,way
"Allée Miss Hutton",,,,way
"Allée Paul Jean Toulet",,,,way
"Allée Paul Valéry",,,,way
"Allée Peyroulet",,,,way
"Allée Pierre Laroque",,,,way
"Allée Plein Sud",,,,way
"Allée Saint-Jean",,,,way
"Allée de Lapparent",,,,relation
"Allée de l'Abbé Lemire",,,,relation+way
"Allée de l'Émir Abd el-Kader",,,,way
"Allée de la Laïcité",,,,way
"Allée des Bruyères",,,,way
"Allée des Cèdres",,,,way
"Allée des Châtaigniers",,,,way
"Allée des Érables",,,,way
"Allée des Géologues",,,,way
"Allée des Hirondelles",,,,way
"Allée des Marguerites",,,,relation
"Allée des Noisetiers",,,,way
"Allée des Platanes",,,,way
"Allée des Prés",,,,way
"Allée des écoliers Carreròt deus escolans",,,,way
"Allée du Bocage",,,,way
"Allée du Grand-Tour",,,,way
"Allées Catherine de Bourbon",,,,relation
"Allées de Morlaàs",,,,relation+way
"Avenue Alfred Nobel",,,,way
"Avenue Beau Soleil",,,,way
"Avenue Bellevue",,,,relation
"Avenue Béziou",,,,way
"Avenue Bié-Moulié",,,,relation+way
"Avenue Copernic",,,,way
"Avenue Didier Daurat",,,,way
"Avenue Dufau",,,,relation+way
"Avenue Edmond Rostand",,,,relation
"Avenue Édouard VII",,,,relation
"Avenue Émile Ginot",,,,relation
"Avenue Fédérico Garcia Lorca",,,,way
"Avenue Fouchet",,,,relation
"Avenue Gaston Lacoste",,,,relation+way
"Avenue Gaston Phoebus",,,,way
"Avenue Gratiane",,,,way
"Avenue Henri Dunant",,,,way
"Avenue Henry Russell",,,,way
"Avenue Honoré Baradat",,,,way
"Avenue Jean Biray",,,,way
"Avenue Jean Mermoz",,,,relation+way
"Avenue Jeliotte",,,,relation
"Avenue Larribau",,,,relation+way
"Avenue Léon Blum",,,,relation+way
"Avenue Léon Heid",,,,way
"Avenue Léon Heid (voie verte)",,,,way
"Avenue Léon Say",,,,way
"Avenue Mirabelle",,,,way
"Avenue Montilleul",,,,way
"Avenue Napoléon Bonaparte",,,,way
"Avenue Nitot",,,,relation
"Avenue Norman Prince",,,,relation
"Avenue Paul Tissandier",,,,relation
"Avenue Péboué",,,,relation
"Avenue Philippon",,,,way
"Avenue Pierre Massé",,,,way
"Avenue Pouguet",,,,relation
"Avenue Regina",,,,relation
"Avenue Rhin et Danube",,,,way
"Avenue Ridgway",,,,relation
"Avenue Robert Schuman",,,,relation
"Avenue Saint-Jammes",,,,relation
"Avenue San-Carlos",,,,relation
"Avenue Stravinsky",,,,relation
"Avenue Trespoey",,,,relation+way
"Avenue Trianon",,,,way
"Avenue Vignancour",,,,way
"Avenue d'Attigny",,,,way
"Avenue d'Ossau",,,,relation
"Avenue de Barèges",,,,relation+way
"Avenue de Beaumont",,,,relation
"Avenue de Buros",,,,relation+way
"Avenue de France",,,,relation
"Avenue de Gelos",,,,way
"Avenue de Lons",,,,way
"Avenue de Montardon",,,,relation
"Avenue de Montebello",,,,relation
"Avenue de Rousse",,,,relation
"Avenue de Saragosse",,,,relation
"Avenue de l'Église Saint-Joseph",,,,relation+way
"Avenue de l'Europe",,,,way
"Avenue de la Concorde",,,,relation
"Avenue de la Fontaine Trespoey",,,,relation+way
"Avenue de la Malcense",,,,way
"Avenue de la République",,,,relation
"Avenue de la Résistance",,,,relation+way
"Avenue des Acacias",,,,relation
"Avenue des Dames de Saint-Maur",,,,relation
"Avenue des États-Unis",,,,relation
"Avenue des Lauriers",,,,relation+way
"Avenue des Lilas",,,,relation+way
"Avenue des Marronniers",,,,relation
"Avenue des Martyrs du Pont-Long",,,,way
"Avenue des Sayettes",,,,way
"Avenue des Tilleuls",,,,way
"Avenue des Vallées",,,,way
"Avenue du 143e Régiment d’Infanterie Territoriale",,,,relation
"Avenue du 18ème Régiment d'Infanterie",,,,relation
"Avenue du Béarn",,,,relation
"Avenue du Bezet",,,,relation+way
"Avenue du Buisson",,,,relation
"Avenue du Chanoine Galharet",,,,way
"Avenue du Château d'Este",,,,way
"Avenue du Corps Franc Pommiès",,,,way
"Avenue du Doyen Henry Vizioz",,,,way
